Economic Activity,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Agriculture,14959844,15142287,14597214,14707770,14168593,14486981,14564696,14376147,13655251,13389912,13556393,13113393,13969387,13557829
Manufacturing,118738687,100182493,106136530,100584901,94551309,96332435,94100864,91014102,90436875,89106139,89498232,86669692,76977218,82726756
Construction,7959064,7442210,7352264,8353740,7979947,8106225,8092687,8105302,8176718,8241813,8267788,8335943,7379778,8222402
Transportation,75589624,66845911,67789025,67954818,67499445,64086853,60776497,59947726,58165682,63608874,64370278,63762107,50821350,56300134
Accommodation,3222913,3547039,3724828,2969185,3154892,2487812,2246370,2359458,2350363,2415165,2379818,2389301,2080250,2276868
Real Estate,498170,508127,527255,455502,473611,447176,413116,434396,434300,451968,465757,487042,405879,458887
Scientific Activities,2419675,2645270,2701941,2189798,2371171,2063342,1903652,2047372,2111879,2193017,2222724,2406944,2055019,2203105
Other,1430198,1553879,1552211,1279039,1366738,1220665,1164263,1200024,1179273,1207712,1222129,1191200,1129764,1191044
